gene,bootstrap_ratio
SBNO1,-3.2247503964
NPIPA8,-3.22666446616
CDA,-3.22755618569
TRIM52,-3.2287056329
USP31,-3.23006651146
LOC389834,-3.23067668708
DIDO1,-3.23144111002
FGF7P6,-3.23263963057
MAP3K14,-3.23265836795
LCOR,-3.23670456655
TRMT10A,-3.24104902519
KCNH5,-3.2429473612
ZNF780B,-3.24343936069
GJB7,-3.24549797109
ZADH2,-3.24645017674
TOX2,-3.24675863185
CNKSR2,-3.24721081264
KTN1-AS1,-3.2478684049
AMH,-3.24794083654
OXSR1,-3.25154417826
RECQL4,-3.25176207815
L1TD1,-3.25187651174
GK5,-3.25385800667
AEBP2,-3.25564488585
CYTH3,-3.25837234934
FAM214A,-3.25947669971
MCF2L-AS1,-3.26093005419
CCDC57,-3.26104626104
GRIN2A,-3.26137982343
DNAJC17,-3.26160620662
NRAV,-3.2626185718
NXPE3,-3.26279803069
FOXRED1,-3.2634273804
KHDRBS2,-3.26416123587
DNMT3A,-3.26459376211
ALX3,-3.26527975999
ZNF354C,-3.26745593527
ABCC8,-3.26746451107
SPAG16,-3.26804639938
TMEM67,-3.26813257713
MAGI1,-3.26883411054
SCP2,-3.26999007711
FAM66B,-3.27001577441
PPP4R3B,-3.27217681397
DGAT1,-3.27277086848
C6orf136,-3.27369755166
POU2F2,-3.27446623873
CMYA5,-3.27458390384
ROCK1,-3.2769470878
BBOF1,-3.27733113775
ADRA2A,-3.27774942367
TBRG4,-3.27901416794
CHIC1,-3.2798334754
ZMYM5,-3.28723069192
CDKL2,-3.28919271044
C1orf174,-3.28992186217
ARHGEF33,-3.29033371353
FBXO40,-3.2907672844
RORA,-3.29127874388
TOP3B,-3.29163098245
LYSMD4,-3.29864094517
GAL3ST3,-3.29900359228
MAP2K6,-3.30071236972
RNF113A,-3.30279091631
THAP10,-3.30300786588
PMS1,-3.30404048945
SULT4A1,-3.30524863646
KCNH4,-3.305330736
TAZ,-3.3078467649
TRMT11,-3.3090820404
MYOT,-3.30986056455
ZNF3,-3.3100797515
BEND6,-3.31423091006
CASC15,-3.31674693759
PRDM1,-3.31747804435
SNAPC2,-3.32074470111
EMX1,-3.3214136002
RBM7,-3.32386789007
PCSK7,-3.32427017187
IDH3B,-3.32493649936
PLCXD1,-3.32556724964
IL1RAPL2,-3.32599446651
PURB,-3.326777155
RIOK2,-3.32711416278
C5orf24,-3.33035461628
ATP2B1,-3.33062266023
RPS6KA1,-3.33180730559
TRIM37,-3.33211114351
SNCB,-3.33290477754
NFKBIL1,-3.33297296354
ATXN7,-3.33376001595
PDE7B,-3.33474209364
SCRT1,-3.33547737614
STARD7-AS1,-3.33748994212
MROH5,-3.33878213456
N4BP1,-3.33902923098
CCDC22,-3.34060392458
ZNF74,-3.34163409037
HAPLN4,-3.34163909512
ANKRD37,-3.34322335152
SART1,-3.34373846859
FRMPD4,-3.34514776184
IMP3,-3.34766248563
IFNLR1,-3.34797948966
LEO1,-3.34847560298
EDC3,-3.34993006189
CCNE1,-3.35021065452
ARL13B,-3.35229439677
GABRA1,-3.35376757256
FOSL2,-3.35419275814
ZFP37,-3.35478363451
SYT16,-3.35550327148
HSPA4L,-3.35663185235
ZNF335,-3.35894727357
MTAP,-3.35966985441
TMEM177,-3.36667361823
TEPSIN,-3.36692702556
DAXX,-3.37026266465
EEF1A2,-3.37304419627
RAP2B,-3.37374862776
ADAMTS10,-3.37641932122
FAXC,-3.37673216963
BCOR,-3.37693484806
PRKAB2,-3.37898536761
RABEPK,-3.38000886583
USP38,-3.38072669292
RMDN2,-3.38096665164
CCDC58,-3.38206993372
PCNT,-3.38211092944
BNIPL,-3.38219451265
PPIE,-3.38244471354
CCDC146,-3.38567652337
ESS2,-3.38698550088
THOC1,-3.38892708406
MRPS26,-3.39058379741
TRMT2B,-3.39104024897
CDK14,-3.39409232376
DCP1A,-3.3945782896
ARNT,-3.39500753338
TIAM1,-3.39629564708
PLA2R1,-3.39791115977
ELMOD3,-3.39802438403
METTL4,-3.3982549782
ZBTB49,-3.40269548339
HOXA5,-3.40331233052
XKR9,-3.40728093533
CYP1B1-AS1,-3.40730118588
ACTR1B,-3.40845802602
PTGES2,-3.41194065493
KRT18,-3.41233208363
COX5B,-3.4184306587
VCX2,-3.42092683679
TCHP,-3.42308270006
ACOT4,-3.42490511206
FNDC4,-3.42659804984
GTF3A,-3.42972501697
NPY2R,-3.43133696102
GALK1,-3.43329177137
HIST1H4K,-3.43369430659
HIST1H2AE,-3.43433312447
SCN1A,-3.43538442792
REXO4,-3.43706859263
IPCEF1,-3.43781419508
PRPF4B,-3.43851544
MMS22L,-3.44021704604
GCNA,-3.44277013803
DHX16,-3.44301461388
ELOVL4,-3.44568104039
TM9SF2,-3.44721168994
EPN3,-3.44744730263
LIN54,-3.44863357796
IDE,-3.4496010097
KIF15,-3.45183348559
C4orf3,-3.45323343994
WDR97,-3.45840817589
RIPPLY3,-3.46919368364
HAUS8,-3.47086561794
NKTR,-3.47310469108
SLC39A8,-3.4732264577
MARCH2,-3.47539082708
ARL6IP5,-3.47636493342
SF3B4,-3.47884210119
NIPA1,-3.47897996248
TLE2,-3.47951144382
TTLL5,-3.48040413012
RSC1A1,-3.48154713681
RLF,-3.48180593015
CKMT1A,-3.48186724857
TMEM161B-AS1,-3.48208856078
ITPR1,-3.48373513783
ZNF317,-3.48463916844
ATP6V0A2,-3.4850057858
RELL2,-3.48766044482
DUS1L,-3.48808807728
FAM217B,-3.48922102479
ZNF30,-3.48994168233
MRPS30,-3.49017196163
CKB,-3.49111752905
GALNT13,-3.49553039965
TDRD1,-3.49624244075
ARL2,-3.49660839043
YOD1,-3.50066055234
ZNF175,-3.50189541391
EIF4A2,-3.50253971293
FBXO22,-3.50317104497
SUPT16H,-3.50539675925
ATP11B,-3.50565808482
FAM118A,-3.50611326043
LTN1,-3.50944153181
ATP13A3,-3.50980678604
KCTD9,-3.51006819822
ATP1A4,-3.51154578949
STRBP,-3.51180838393
CMBL,-3.51199199938
GALNT12,-3.5121101168
IL26,-3.51281602861
NRBF2,-3.51345211756
TPTE2P6,-3.5141253128
RTEL1,-3.51478567168
KLC2,-3.51659343361
IDH3G,-3.51792466472
RFT1,-3.51852482442
STAMBPL1,-3.52066170295
CDK19,-3.52078541755
WDYHV1,-3.52092369941
TMEM38A,-3.52337445126
CXorf56,-3.52374809951
LOC101928673,-3.52647833376
MAP3K12,-3.5267676097
SAC3D1,-3.52766859504
ACTL6B,-3.52818996306
FSD1,-3.53155921836
FLRT3,-3.53173099411
PDCD2,-3.53348912191
MTBP,-3.53381763785
CDKN1B,-3.53520469432
CCT4,-3.53564162455
RHBDL3,-3.53904163495
GPN2,-3.53924907224
TBCEL,-3.54113736376
CEP63,-3.54134260794
ZNF702P,-3.54176594198
XKR6,-3.5438177903
RNASEH1,-3.54408929844
MRPL1,-3.5451898727
PSMG2,-3.54574379431
RBBP8,-3.54769903581
PDS5A,-3.54935499838
PPP4R2,-3.55054788354
RBM23,-3.55317204678
ZCCHC6,-3.55487816544
PENK,-3.55812461829
NFXL1,-3.55845041483
CHFR,-3.55856361039
PARP6,-3.55895897247
DHX8,-3.56260224641
CPLX2,-3.56344783539
CCR10,-3.56561101352
ZNF791,-3.56862098812
VPS11,-3.56980576822
CTSC,-3.57212712092
KIF11,-3.57507978229
EXOSC5,-3.57602592871
SRCAP,-3.57636492243
FAM216A,-3.57714788417
CCDC61,-3.57965663024
STXBP1,-3.58079246758
CDC42EP3,-3.58164156248
OSBPL10,-3.58230708002
PHF6,-3.58275308454
ARG2,-3.58398016936
ZNF586,-3.58778175225
TPGS1,-3.58937971288
ENTPD7,-3.5899393055
CAMK2B,-3.59398246329
SFSWAP,-3.59469999184
CRTC3,-3.5974955627
RASSF7,-3.60499229981
PAXIP1,-3.60932655912
BUB1B,-3.60948196195
NUAK1,-3.60961946529
LINC01637,-3.6107602857
ARNTL2,-3.61189827154
INA,-3.61312635408
MATK,-3.61403982659
RAB26,-3.6147670607
GABRG3,-3.6173453742
ZDHHC13,-3.61867958015
AP5M1,-3.61877268101
PCDH11X,-3.62539334866
CYTH2,-3.62657969227
COX10,-3.62900474403
CCDC14,-3.62976845094
DPY19L2P2,-3.63010015812
RAD51C,-3.63045058126
NUP50,-3.63372403689
HNRNPL,-3.63441187658
YPEL4,-3.63492271855
CCNI,-3.63586037031
MZF1,-3.63667249091
OIP5-AS1,-3.63695148923
FAM133B,-3.63842449302
ACTL8,-3.63964603869
NCOA3,-3.63973475723
BUD13,-3.64097181247
RANGRF,-3.64118199952
SMIM13,-3.64191540503
RAB12,-3.64210732802
NGDN,-3.64596646006
PCSK1,-3.64831821994
RAB37,-3.64955077335
NR3C1,-3.65071837836
PNPO,-3.65465984486
POU6F1,-3.65556012523
UNKL,-3.65680428586
ZNF347,-3.65692977916
TIMM23B,-3.66018083425
HEATR3,-3.66081926681
TAS2R31,-3.66394282385
MPP7,-3.66485324107
TTC31,-3.66742554463
MAIP1,-3.66758975547
C20orf196,-3.66869816981
CEP19,-3.66940235044
SDHA,-3.67065086868
CACNB4,-3.67562151274
TRAPPC2B,-3.67656140771
PIGX,-3.67743964676
CHRM1,-3.68146024399
COMMD8,-3.68285028416
NR1D2,-3.68405267
TAS2R43,-3.68475304817
PTGS2,-3.68785077782
C17orf75,-3.68875582657
CYB5R4,-3.69126557593
NPR2,-3.69190422138
