gene,weight,weight_zscore,bootstrap_std,bootstrap_ratio,bootstrap_ratio_zscore,abs_bootstrap_ratio,signed_contribution_rank,abs_bootstrap_ratio_rank
AQP2,0.00223643167194,0.161780638644,0.00268809179078,0.831977419671,0.142748716155,0.831977419671,6587,11735
AQP4,0.0157366387094,1.86810722715,0.0018885645228,8.33259256934,2.91108200799,8.33259256934,58,69
AQP5,0.00853252929824,0.957560936959,0.0029140498634,2.92806564685,0.916374706309,2.92806564685,2727,4192
AQP6,0.0175263409052,2.09431238339,0.00336330077207,5.21105369188,1.75898183703,5.21105369188,803,1044
AQP7,-0.0116356785877,-1.59155177389,0.0018790917103,-6.19218238467,-2.44973403966,6.19218238467,15650,499
AQP9,0.00545495672048,0.568578464104,0.00405838454503,1.34412021827,0.331770807175,1.34412021827,5422,9469
AR,-0.0100923981475,-1.39649250988,0.00165525975284,-6.09716881606,-2.41466635255,6.09716881606,15643,531
ABCC6,0.00899162364743,1.0155870763,0.00426876491459,2.10637592543,0.61310477898,2.10637592543,3934,6522
ARAF,0.00818210962187,0.913270474652,0.00469255673475,1.74363573727,0.479224327958,1.74363573727,4622,7881
ARCN1,-0.00528457228479,-0.788818784608,0.00198615818674,-2.66070060283,-1.14633179983,2.66070060283,13975,4858
TRIM23,-0.00595098843867,-0.8730488708,0.00271430409992,-2.19245457384,-0.973511165129,2.19245457384,13300,6223
ARF1,0.0108407094221,1.24929787887,0.00263550641956,4.11333068348,1.35383331404,4.11333068348,1506,2091
ARF3,0.00698824684809,0.762375026288,0.00357922900425,1.95244474154,0.556291729313,1.95244474154,4246,7130
ARF4,0.0066077474433,0.714282708184,0.0029175994166,2.26478912961,0.67157205643,2.26478912961,3656,5983
ARL4D,-0.00197567539544,-0.370598625077,0.0038030343041,-0.519499756633,-0.356055606645,0.519499756633,9914,13206
ARF5,-0.00526736126048,-0.786643438089,0.0063077127724,-0.835066758831,-0.472525338868,0.835066758831,10609,11714
ARF6,-0.00817416231932,-1.15404165061,0.00592458676659,-1.3797016807,-0.673539649831,1.3797016807,11780,9324
ARG2,-0.00922435081501,-1.28677773,0.00257377283889,-3.58398016936,-1.48709659187,3.58398016936,14869,2856
RHOA,0.0121788703515,1.41843154973,0.003422766736,3.55819466848,1.14894325088,3.55819466848,2003,2898
RHOB,0.00376529754539,0.355018007737,0.00190218916444,1.97945483855,0.566260638435,1.97945483855,4190,7017
RHOC,0.0123624416671,1.44163360996,0.00220080235177,5.61724302828,1.9088985359,5.61724302828,596,759
RND3,0.0109069856832,1.25767470941,0.00268566116124,4.06119202252,1.3345899336,4.06119202252,1554,2170
RHOG,0.00264827349458,0.213834407174,0.00278930420999,0.949438747161,0.186101440819,0.949438747161,6323,11221
ARHGAP1,0.0138300515871,1.62712867837,0.00192585368901,7.18125767604,2.48614636583,7.18125767604,177,208
ARHGAP4,0.0143524420882,1.69315498442,0.00332106257975,4.32164156607,1.43071686824,4.32164156607,1344,1827
ARHGAP5,0.014522818007,1.71468924383,0.00311273671438,4.66561079193,1.55766931684,4.66561079193,1096,1469
ARHGAP6,0.00947649493026,1.07687122991,0.00295256329999,3.20958230778,1.02027711019,3.20958230778,2391,3551
ARHGDIA,0.0114110588282,1.32138583677,0.00201515914908,5.66260924525,1.92564233708,5.66260924525,578,734
ARHGDIB,0.00126957266867,0.0395767924339,0.00230800048023,0.550074698658,0.0387038248943,0.550074698658,7289,13042
ARHGDIG,0.00816983164249,0.911718628624,0.00238171914525,3.43022461687,1.10171195755,3.43022461687,2145,3136
ARL1,0.0105160221266,1.20825979971,0.0026254204142,4.00546216132,1.31402110997,4.00546216132,1593,2231
PHOX2A,0.00226298647839,0.165136970305,0.00310168683564,0.729598634004,0.1049626686,0.729598634004,6843,12187
ARL2,-0.0121936143792,-1.66207074245,0.00348726909554,-3.49660839043,-1.45484934288,3.49660839043,14799,3015
ARL3,0.0126002589018,1.47169195422,0.00159447923727,7.90242896067,2.75231686472,7.90242896067,92,106
ARNT,-0.00843220697998,-1.18665659231,0.00248370788491,-3.39500753338,-1.41735041386,3.39500753338,14737,3188
ARNTL,-0.0143155919177,-1.93027305106,0.00562955842478,-2.54293335951,-1.1028661675,2.54293335951,13832,5162
ARRB1,0.0130743489005,1.53161343304,0.0026575024253,4.91978813491,1.65148130247,4.91978813491,952,1253
ARRB2,0.0104667859008,1.20203670394,0.00345645112981,3.02818859798,0.953328168571,3.02818859798,2618,3967
ARSA,0.0123583445522,1.44111576485,0.00273299241029,4.52190957634,1.50463195241,4.52190957634,1200,1618
ARSB,-0.00585145932678,-0.860469125209,0.00433938671195,-1.34845306842,-0.66200638596,1.34845306842,11712,9447
STS,-0.0159831943257,-2.14104569477,0.00254140680074,-6.28911291222,-2.48550923957,6.28911291222,15657,472
ARSD,0.00203253102828,0.13600910131,0.00231532672121,0.877859271289,0.159682828197,0.877859271289,6476,11528
