gene,bootstrap_ratio
SMIM10,6.82680459833
ABLIM3,6.81918281623
TTYH1,6.81876578198
SEPT2,6.81871215361
CADM1,6.81829952503
PPP4R4,6.81802493276
EIF1,6.81451917921
SUMO3,6.81404163642
TMEM176B,6.80855003316
GPR160,6.80472337722
HSPB1,6.80374859741
TLCD1,6.79423412128
EYA2,6.79033431934
LOC440934,6.76957526569
ACOX2,6.76747920315
KCMF1,6.76254396649
PDGFRL,6.7612362099
TAOK1,6.75047657819
CNN3,6.74904891841
PTN,6.73726324793
KCNG1,6.73351939747
FABP7,6.72952611434
DCAF7,6.7192232535
HGS,6.70344545894
B4GAT1,6.69751641386
ST20,6.69646604806
EMID1,6.69446581666
FAH,6.69259995796
LOH12CR2,6.69075177815
PON3,6.68377573239
GLI3,6.68269042402
VBP1,6.67680016143
FOLR1,6.67646665906
RAB29,6.67239465562
GATM,6.67110283037
SHISAL1,6.66054756315
SELENBP1,6.63990308075
PLPP4,6.63360444871
USP35,6.63298057412
NISCH,6.62739698907
SRGAP1,6.62554473143
URB1-AS1,6.62358162886
SYT9,6.6230088406
SPACA9,6.61987263039
STARD3NL,6.61881532796
ST5,6.61801931125
MAGED1,6.61525789159
CPAMD8,6.61270246654
MVK,6.61111483144
ITPRIPL2,6.60901014663
CCDC189,6.60785260393
FAM184B,6.59961922194
VAV1,6.59791872205
NECTIN3,6.59452562549
RPS2,6.57896151084
HACD4,6.57781836899
LINC01140,6.57728537762
PNP,6.57681278511
GSG1,6.57498748822
AP2B1,6.57226270018
CNR1,6.57184475089
CYP51A1,6.56659656797
LDOC1,6.56643889392
BCR,6.55938347488
CRB1,6.55888419292
VAV2,6.55850534867
ETNPPL,6.55710846904
DDAH2,6.55478358534
TUBB2B,6.549327254
GALM,6.53730869755
CERS1,6.5347211629
ARHGAP31,6.53373534036
RFK,6.53292412181
HSD17B7,6.52955481946
APCDD1,6.52736394262
AXL,6.52714960952
LOC101927420,6.52384699068
PTTG1IP,6.51754138718
FAM149A,6.51061189092
WWTR1,6.50843208794
ANXA2,6.50657495448
DHRSX,6.50632673881
PPP2R5C,6.50543580017
RILPL2,6.50037607862
ABCB6,6.49172176607
NMNAT1,6.49112054261
MSRA,6.47650979973
BAIAP2,6.47634190332
TBC1D10A,6.47564659088
JARID2-AS1,6.46359321274
SMIM10L2B,6.46065480019
GNAO1,6.4589563039
GSTM3,6.44865837599
PGPEP1,6.44836116058
FAM213A,6.44173292334
PLPPR2,6.44068677388
CENPVL3,6.43508700284
PSMG3-AS1,6.43452590427
ELMO2,6.42829113307
ALDH4A1,6.41404163323
CNTN1,6.41384873706
LAPTM4A,6.41010554844
AMIGO2,6.40746814447
LINC00886,6.40627020622
IL34,6.40537060891
DNAJA4,6.4008135734
STX17-AS1,6.3949722453
DHCR7,6.3937167726
C8orf82,6.38962519438
CLU,6.38613019618
DCUN1D5,6.38593286846
SELENOW,6.38322162737
ABHD4,6.38212816805
MANEAL,6.37887907775
PARP1,6.37800037746
DERL2,6.37621024364
SLCO1C1,6.37016708099
PRPS1,6.3677293342
PPP1R37,6.36714703581
TPM3P9,6.36691136015
PSEN2,6.3591993819
CTNND2,6.3552859754
RANBP3L,6.35505060305
TMEM9,6.35286716624
STK10,6.34928056151
GRAMD1C,6.33399932293
SLC30A10,6.32683435815
MAN1A1,6.32463277559
TSEN34,6.32340828615
GABARAP,6.32214388233
LOC101930085,6.31292103773
TBCA,6.30962663778
MAEA,6.30378457201
GGCT,6.30003588867
DCAKD,6.29765351339
PTPRF,6.29694953094
MPI,6.29576411478
PRRX1,6.28948740749
MLC1,6.28668570463
PTER,6.28423906422
RNF5,6.28419362945
CFAP44,6.27474457257
STK25,6.26246024702
CD81,6.26220954134
PPP2CB,6.26138107017
CHRDL1,6.2584647129
ARHGEF40,6.25751020877
RTN4RL2,6.24974238068
PCBP3,6.24622706346
CCDC103,6.2402870907
DMGDH,6.23191551039
TWF1,6.22360641565
PIPSL,6.22188348754
PLAC9P1,6.22111868339
GTPBP3,6.21404229305
HVCN1,6.21358224635
FCGRT,6.21093198095
MT1JP,6.20429896838
FAM189A2,6.18597161684
PLEKHB1,6.18097975186
SEMA4A,6.17172447694
ZIC4,6.16973009941
TTC38,6.16677280785
NEURL1B,6.16502194259
PDE5A,6.16394482574
LSS,6.16323651547
LYPD1,6.15634272644
PTDSS1,6.15495438683
LOC642852,6.15378535283
DSTN,6.15115157554
CAPZB,6.14636754818
RBP1,6.14265637036
SGSM2,6.14037439218
MT2A,6.13681102682
MYBPC1,6.13029291998
WIF1,6.12788823281
ACAA2,6.12218631721
GAN,6.11941190048
HPCAL4,6.11023714155
EDNRB,6.10943336412
ETFRF1,6.10853416913
S100A1,6.10221377254
LHFPL3,6.0972853344
FKBP1A,6.09511242251
WWC1,6.08724458948
GTF2H5,6.07981485823
DYRK3,6.06822955724
SEPT3,6.06640995314
ADGRA3,6.06628438063
PINLYP,6.06497518787
PPCS,6.0610442196
